alpha,wealth
0.001,1.104664401217547
0.002,1.2201060295353068
0.003,1.3474158824359164
0.004,1.4877934543349132
0.005,1.6425573271635765
0.006,1.8131567746747008
0.007,2.001184475521494
0.008,2.2083904388793987
0.009000000000000001,2.4366972558812274
0.010000000000000002,2.688216800487613
0.011,2.9652685146887774
0.012,3.2703994252141753
0.013000000000000001,3.6064060522961308
0.014000000000000002,3.9763583855925075
0.015,4.383626118218268
0.016,4.83190734708331
0.017,5.325259966501223
0.018000000000000002,5.868136002451478
0.019000000000000003,6.465419157091023
0.02,7.122465857267962
0.021,7.845150127063219
0.022000000000000002,8.639912632948674
0.023,9.513814281203057
0.024,10.474594780976352
0.025,11.530736623073073
0.026000000000000002,12.691534964374355
0.027000000000000003,13.967173951115397
0.028,15.368810061257877
0.029,16.90866309726762
0.030000000000000002,18.600115516060516
0.031,20.457820843079976
0.032,22.497821982815914
0.033,24.73768030899246
0.034,27.196616494608953
0.035,29.895664125496513
0.036000000000000004,32.85783723162898
0.037000000000000005,36.10831296862486
0.038,39.6746307884019
0.039,43.58690955339916
0.04,47.878084173959934
0.041,52.58416348412654
0.042,57.744511218109785
0.043000000000000003,63.40215210895564
0.044000000000000004,69.60410530349823
0.045,76.40174747453159
0.046,83.85120821351937
0.047,92.01380050626514
0.048,100.95648933115626
0.049,110.7524016763193
0.05,121.48138154985104
0.051000000000000004,133.23059385790285
0.052000000000000005,146.09518135057127
0.053000000000000005,160.17897918727806
0.054,175.59529205377552
0.055,192.46773917408922
0.056,210.9311730054653
0.057,231.13267788492388
0.058,253.23265541546107
0.059000000000000004,277.40600394108935
0.060000000000000005,303.84340006634756
0.061,332.75269083065814
0.062,364.3604058553003
0.063,398.9133995445059
0.064,436.68063424654076
0.065,477.95511617081496
0.066,523.0559968175112
0.067,572.3308537125624
0.068,626.1581653591898
0.069,684.9499965232201
0.07,749.1549112702962
0.07100000000000001,819.2611325759533
0.07200000000000001,895.7999688414993
0.07300000000000001,979.3495292794082
0.074,1070.5387518881469
0.075,1170.0517696304075
0.076,1278.6326424677522
0.077,1397.0904851024732
0.078,1526.305022643547
0.079,1667.2326089622488
0.08,1820.9127452459556
0.081,1988.4751392129538
0.082,2171.147348628827
0.083,2370.2630561858814
0.084,2587.2710264876396
0.085,2823.744799838233
0.08600000000000001,3081.393181794958
0.08700000000000001,3362.0715920210814
0.08800000000000001,3667.7943408977867
0.089,4000.747907646591
0.09,4363.305299400773
0.091,4758.041576776325
0.092,5187.750638058824
0.093,5655.463361176855
0.094,6164.4672102090535
0.095,6718.327421306957
0.096,7320.909891649897
0.097,7976.40590442683
0.098,8689.358832901004
0.099,9464.69297741471
0.1,10307.744700777064
0.101,11224.29603990689
0.10200000000000001,12220.610984933968
0.10300000000000001,13303.47463125565
0.10400000000000001,14480.23542537347
0.10500000000000001,15758.850741763914
0.106,17147.936045643055
0.107,18656.817915359537
0.108,20295.591218357044
0.109,22075.18075631533
0.11,24007.4077182607
0.111,26105.0613052773
0.112,28381.97591704756
0.113,30853.114318896405
0.114,33534.65723850011
0.115,36444.09987399259
0.116,39600.35583010258
0.117,43023.8690362361
0.11800000000000001,46736.73424033313
0.11900000000000001,50762.826714984825
0.12000000000000001,55127.94185790028
0.121,59859.945417576215
0.122,64988.935127122575
0.123,70547.41458486386
0.124,76570.48027983289
0.125,83096.02272378278
0.126,90164.94271921352
0.127,97821.38386534019
0.128,106112.98248127838
0.129,115091.13620827759
0.13,124811.29264091777
0.131,135333.25943120438
0.132,146721.53740972772
0.133,159045.67837509039
0.134,172380.66931675974
0.135,186807.34495818013
0.136,202412.83063660975
0.137,219291.0176742574
0.138,237543.07354258047
0.139,257277.98927848882
0.14,278613.1667781749
0.14100000000000001,301675.04877241945
0.14200000000000002,326599.79447658086
0.14300000000000002,353534.0041102962
0.14400000000000002,382635.49569664645
0.14500000000000002,414074.137779095
0.146,448032.74193765916
0.147,484708.0192445231
0.148,524311.6050744073
0.149,567071.1569777213
0.15,613231.5306355826
0.151,663056.0392465995
0.152,716827.8020468156
0.153,774851.1880378057
0.154,837453.3613948352
0.155,904985.9354484751
0.156,977826.7425810162
0.157,1056381.7278543056
0.158,1141086.9746904944
0.159,1232410.8714629237
0.16,1330856.4284230077
0.161,1436963.7549922087
0.162,1551312.7080881698
0.163,1674525.7228331415
0.164,1807270.8377121557
0.165,1950264.9270121718
